order_id,lead_time_days,distance_km,supplier_reliability,historical_delay_rate,order_value,delayed,cost_air_freight,cost_secondary_supplier,cost_delay_penalty
ORD-1001,19.9,173.8,0.63,0.09,36955.33,0,12341.48,3406.99,805.18
ORD-1002,8.1,2551.5,0.51,0.08,32669.28,0,11899.24,4277.82,666.12
ORD-1003,24.6,3505.8,0.67,0.06,47882.05,0,12254.42,6452.08,2692.1
ORD-1004,24.6,3662.2,0.76,0.39,19237.45,1,14269.23,2619.58,1051.16
ORD-1005,21.7,276.8,0.61,0.12,4449.7,0,1188.03,505.35,186.4
ORD-1006,12.4,1087.1,0.63,0.37,32577.75,1,8674.09,2161.22,1393.26
ORD-1007,29.7,3218.0,0.77,0.27,42221.17,1,11691.91,3442.94,1522.68
ORD-1008,7.9,4717.4,0.93,0.13,32944.21,0,20014.02,2519.84,1146.38
ORD-1009,17.7,1350.6,0.79,0.36,20270.33,0,9811.57,1197.79,462.71
ORD-1010,5.1,3155.9,0.89,0.17,3644.62,0,7768.35,536.15,261.13
ORD-1011,2.3,3617.6,0.83,0.21,13707.85,0,9125.22,1307.35,1058.64
ORD-1012,26.5,1353.8,0.75,0.07,45675.08,0,12661.38,5065.23,1332.36
ORD-1013,23.4,2719.9,0.88,0.21,528.31,0,7855.32,72.84,36.93
ORD-1014,10.6,336.7,0.93,0.38,4739.85,0,1625.48,599.99,131.31
ORD-1015,15.3,2771.5,0.63,0.35,21445.33,0,12347.38,1503.64,830.0
ORD-1016,29.9,3266.9,0.71,0.21,6489.71,0,8523.06,473.82,215.54
ORD-1017,4.0,3174.0,0.61,0.36,43051.95,0,15927.78,3074.93,1202.82
ORD-1018,28.2,2876.7,0.73,0.31,40471.1,0,12211.95,3737.82,1943.48
ORD-1019,22.4,3383.2,0.98,0.04,20429.75,0,11650.92,1410.08,958.5
ORD-1020,13.8,1428.8,0.62,0.37,22434.97,1,7407.91,3363.64,1574.07
ORD-1021,29.1,4635.5,0.92,0.07,24539.24,0,10828.24,2156.93,1941.51
ORD-1022,9.4,3931.1,0.72,0.17,47887.22,1,22085.29,3135.64,1810.26
ORD-1023,29.1,2916.9,0.77,0.3,3329.68,0,8725.82,218.9,258.54
ORD-1024,4.2,969.8,0.79,0.27,12142.59,0,5430.83,1329.03,694.11
ORD-1025,13.7,2939.2,0.76,0.37,10610.83,1,7363.94,1243.26,403.21
ORD-1026,10.9,3771.7,0.54,0.18,49923.49,1,13599.62,3820.15,3793.96
ORD-1027,26.7,4402.4,0.68,0.06,41770.38,0,24470.35,4820.2,855.01
ORD-1028,24.9,1531.9,0.83,0.38,7147.41,0,4451.98,552.03,402.33
ORD-1029,22.1,1057.8,0.81,0.11,24682.33,0,9132.18,2279.6,903.39
ORD-1030,2.1,3867.0,0.81,0.1,37190.93,0,12701.64,2139.39,2714.43
ORD-1031,27.3,2750.7,0.91,0.23,7830.64,0,9353.72,1014.95,561.0
ORD-1032,27.2,1089.9,0.62,0.04,39115.75,0,11489.33,2560.33,2964.69
ORD-1033,26.2,4882.2,0.9,0.35,1726.92,1,14344.83,224.89,124.07
ORD-1034,24.7,1370.7,0.89,0.04,43672.26,0,12102.97,4193.86,1673.15
ORD-1035,24.3,1176.6,0.51,0.08,16748.97,1,7584.66,1911.86,736.63
ORD-1036,29.5,2704.3,0.96,0.05,48534.83,0,20763.61,2952.87,2236.19
ORD-1037,22.4,1602.7,0.8,0.2,19567.17,0,7806.56,981.67,1478.0
ORD-1038,17.1,3611.2,0.86,0.27,18528.96,0,11236.91,1508.1,1313.35
ORD-1039,22.2,1536.6,0.65,0.16,20418.82,0,6411.35,2941.05,1238.18
